무인교통단속카메라관리번호,소재지지번주소,위도,경도
P-6905,경기도 고양시 일산동구 장항동 1492,37.6599314,126.7697312
P-6906,경기도 고양시 일산동구 장항동 761-1,37.66183401,126.7675434
P-6907,경기도 고양시 일산동구 장항동 744,37.66275748,126.7653413
P-6908,경기도 고양시 일산동구 장항동 1496,37.6591437,126.7679438
P-6909,경기도 고양시 일산동구 장항동 749,37.66266909,126.7639849
P-6A02,경기도 고양시 일산동구 장항동 861-1,37.65728692,126.7709841
SP-6B02,경기도 고양시 일산동구 문봉동 203-6,37.70737883,126.8123741
P-6101,경기도 고양시 일산동구 식사동 산 122-25,37.6777634,126.812633
P-6102,경기도 고양시 일산동구 식사동 916,37.66932912,126.8064009
P-6103,경기도 고양시 일산동구 식사동 산 123,37.6768033,126.8143145
P-6301,경기도 고양시 일산동구 정발산동 688,37.66801128,126.7738567
P-6504,경기도 고양시 일산동구 백석동 1291,37.64500979,126.7867465
P-6701,경기도 고양시 일산동구 마두동 730-1,37.65449803,126.7904202
P-6702,경기도 고양시 일산동구 마두동 780,37.6546888,126.7844884
P-6902,경기도 고양시 일산동구 장항동 772,37.660747,126.7710539
P-6903,경기도 고양시 일산동구 장항동 733,37.66378321,126.7679191
P-6904,경기도 고양시 일산동구 장항동 733-2,37.66349022,126.767458
P-6201,경기도 고양시 일산동구 중산동 1619,37.69041846,126.7828926
P-6202,경기도 고양시 일산동구 중산동 1556,37.69611072,126.780004
P-6501,경기도 고양시 일산동구 백석동 1330,37.63761157,126.78776
P-6502,경기도 고양시 일산동구 백석동 1232,37.64547536,126.7930402
P-6503,경기도 고양시 일산동구 백석동 1300,37.64039745,126.7908618
P-6505,경기도 고양시 일산동구 백석동 1312,37.64053602,126.788331
P-6520,경기도 고양시 일산동구 백석동 1308,37.64235547,126.7878825
P-6521,경기도 고양시 일산동구 백석동 1312,37.64053602,126.788331
P-6522,경기도 고양시 일산동구 백석동 1320-1,37.63880938,126.787585
P-6601,경기도 고양시 일산동구 백석동 1326,37.64099411,126.78602
P-6917,경기도 고양시 일산동구 장항동 752-1,37.65980545,126.7668076
P-6918,경기도 고양시 일산동구 장항동 881,37.64937156,126.777064
P-6919,경기도 고양시 일산동구 장항동 750-1,37.66146744,126.7651519
P-6920,경기도 고양시 일산동구 장항동 748,37.66336347,126.7633513
P-6921,경기도 고양시 일산동구 장항동 729,37.66533382,126.7665012
P-6937,경기도 고양시 일산동구 장항동 777,37.66203341,126.7687417
P-6938,경기도 고양시 일산동구 장항동 732,37.66377561,126.7670356
P-6939,경기도 고양시 일산동구 장항동 1518,37.65819062,126.7675039
P-6940,경기도 고양시 일산동구 장항동 743,37.66280502,126.7660486
P-6948,경기도 고양시 일산동구 장항동 1811,37.66103564,126.7483496
P-6519,경기도 고양시 일산동구 백석동 1301,37.64022347,126.7904006
P-6302,경기도 고양시 일산동구 정발산동 1486,37.67398095,126.776748
P-6303,경기도 고양시 일산동구 정발산동 1486,37.67398095,126.776748
P-6712,경기도 고양시 일산동구 마두동 778,37.654588,126.7896544
P-6713,경기도 고양시 일산동구 마두동723,37.65762,126.7885932
P-6714,경기도 고양시 일산동구 마두동 772,37.65287639,126.7793701
P-6913,경기도 고양시 일산동구 장항동 857,37.65826719,126.7726593
P-6914,경기도 고양시 일산동구 장항동 867,37.65589641,126.7720388
P-6931,경기도 고양시 일산동구 장항동1504,37.65733038,126.7716654
P-6932,경기도 고양시 일산동구 장항동 859-1,37.6569282,126.7718487
P-6A01,경기도 고양시 일산동구 장항동 853,37.6555821,126.7741236
P-6115,경기도 고양시 일산동구 식사동 577-102,37.66911774,126.8111323
P-6116,경기도 고양시 일산동구 식사동 1507 블루밍 아파트 앞,37.68222005,126.8109873
P-6533,경기도 고양시 일산동구 백석동 1299-1,37.63984294,126.7910054
P-6113,경기도 고양시 일산동구 식사동 621-10,37.6712067,126.8099394
P-6114,경기도 고양시 일산동구 식사동 856-29,37.67177853,126.8075595
P-6B03,경기도 고양시 일산동구 사리현동 117-1,37.69481907,126.8443253
SP-6166,경기도 고양시 일산동구 식사동 633-2,37.67216343,126.8126834
SP-6722,경기도 고양시 일산동구 마두동 830,37.66672298,126.7856589
SP-6723,경기도 고양시 일산동구 마두동 808 (한국경진학교),37.66535212,126.7821081
SP-6114,경기도 고양시 일산동구 식사동 668-21,37.6769175,126.8108599
SP-6302,경기도 고양시 일산동구 정발산동 1117,37.6754219,126.7788532
SP-6328,경기도 고양시 일산동구 정발산동 1117,37.67544394,126.7788445
SP-6421,경기도 고양시 일산동구 풍동 1284,37.66687039,126.7967057
SP-6605,경기도 고양시 일산동구 백석동 1427-6,37.6443158,126.7821002
SP-6418,경기도 고양시 일산동구 풍동 551-57 (풍산초교 두산위브2단지 203동 앞),37.66536295,126.7970102
SP-6515,경기도 고양시 일산동구 백석동 1188,37.65213917,126.7890577
SP-6516,경기도 고양시 일산동구 백석동 1192,37.649601,126.7843119
P-6211,경기도 고양시 일산동구 중산동 1651,37.68298713,126.7792441
SP-6218,경기도 고양시 일산동구 중산동 1554-1,37.69613944,126.7826205
SP-6219,경기도 고양시 일산동구 중산동 1575-3,37.69044448,126.7835571
P-6205,경기도 고양시 일산동구 중산동 1805,37.67517615,126.7850915
P-6206,경기도 고양시 일산동구 중산동 1811,37.6743685,126.7876817
P-6207,경기도 고양시 일산동구 중산동 1814,37.6745176,126.7877961
P-6210,경기도 고양시 일산동구 중산동 1662,37.6845076,126.7779843
P-6901,경기도 고양시 일산동구 장항동 892,37.65257831,126.7763845
P-6104,경기도 고양시 일산동구 식사동 807-4,37.6768453,126.8072744
P-6934,경기도 고양시 일산동구 장항동 1509,37.65643322,126.7692391
P-6203,경기도 고양시 일산동구 중산동 1775,37.6800552,126.7845522
P-6204,경기도 고양시 일산동구 중산동 1775,37.6800552,126.7845522
P-6208,경기도 고양시 일산동구 중산동 1573,37.69254797,126.7822753
P-6209,경기도 고양시 일산동구 중산동 1570,37.69312805,126.7810036
P-6403,경기도 고양시 일산동구 풍동1275,37.66774328,126.8003849
P-6517,경기도 고양시 일산동구 백석동 1223,37.6498208,126.7859323
P-6518,경기도 고양시 일산동구 백석동 1230,37.64890093,126.7937315
P-6935,경기도 고양시 일산동구 장항동 866,37.65614811,126.7694718
P-6703,경기도 고양시 일산동구 마두동 752,37.657316,126.7879446
P-6915,경기도 고양시 일산동구 장항동 854-1,37.65597375,126.7732253
P-6706,경기도 고양시 일산동구 마두동 806,37.6501177,126.780266
