무인교통단속카메라관리번호,소재지지번주소,위도,경도,,,,,,,,,,,
P-6905,경기도 고양시 일산동구 장항동 1492,37.6599314,126.7697312,,,,,,,,,,,
P-6906,경기도 고양시 일산동구 장항동 761-1,37.66183401,126.7675434,,,,,,,,,,,
P-6907,경기도 고양시 일산동구 장항동 744,37.66275748,126.7653413,,,,,,,,,,,
P-6908,경기도 고양시 일산동구 장항동 1496,37.6591437,126.7679438,,,,,,,,,,,
P-6909,경기도 고양시 일산동구 장항동 749,37.66266909,126.7639849,,,,,,,,,,,
P-6A02,경기도 고양시 일산동구 장항동 861-1,37.65728692,126.7709841,,,,,,,,,,,
P-7101,경기도 고양시 일산서구 일산동 957-3,37.68604095,126.7650032,,,,,,,,,,,
P-7102,경기도 고양시 일산서구 일산동 1385,37.67598184,126.7692268,,,,,,,,,,,
P-7103,경기도 고양시 일산서구 일산3동 1394,37.6780539,126.7669195,,,,,,,,,,,
P-7406,경기도 고양시 일산서구 탄현동 1519,37.69576734,126.7672056,,,,,,,,,,,
P-7502,경기도 고양시 일산서구 주엽동 18-2,37.671568,126.758974,,,,,,,,,,,
P-7503,경기도 고양시 일산서구 주엽동 123,37.668648,126.756469,,,,,,,,,,,
P-7703,경기도 고양시 일산서구 대화동 866,37.670238,126.7347591,,,,,,,,,,,
SP-5902,경기도 고양시 덕양구 고양동 235-9,37.70352605,126.9006293,,,,,,,,,,,
SP-6B02,경기도 고양시 일산동구 문봉동 203-6,37.7073788345,126.8123740876,,,,,,,,,,,
P-5101,경기도 고양시 덕양구 주교동 579,37.66070897,126.8353026,,,,,,,,,,,
P-5901,경기도 고양시 덕양구 고양동 126-5,37.7038162,126.9020028,,,,,,,,,,,
P-5C04,경기도 고양시 덕양구 화정동 871,37.64089349,126.8360183,,,,,,,,,,,
P-5C05,경기도 고양시 덕양구 화정동 918,37.64051723,126.8296499,,,,,,,,,,,
P-5C06,경기도 고양시 덕양구 화정동 1149,37.62939083,126.8333973,,,,,,,,,,,
P-5F02,경기도 고양시 덕양구 행신동 770,37.61517772,126.8382891,,,,,,,,,,,
P-6101,경기도 고양시 일산동구 식사동 산 122-25,37.6777634,126.812633,,,,,,,,,,,
P-6102,경기도 고양시 일산동구 식사동 916,37.66932912,126.8064009,,,,,,,,,,,
P-6103,경기도 고양시 일산동구 식사동 산 123,37.6768033,126.8143145,,,,,,,,,,,
P-6301,경기도 고양시 일산동구 정발산동 688,37.66801128,126.7738567,,,,,,,,,,,
P-6504,경기도 고양시 일산동구 백석동 1291,37.64500979,126.7867465,,,,,,,,,,,
P-6701,경기도 고양시 일산동구 마두동 730-1,37.65449803,126.7904202,,,,,,,,,,,
P-6702,경기도 고양시 일산동구 마두동 780,37.6546888,126.7844884,,,,,,,,,,,
P-6902,경기도 고양시 일산동구 장항동 772,37.660747,126.7710539,,,,,,,,,,,
P-6903,경기도 고양시 일산동구 장항동 733,37.66378321,126.7679191,,,,,,,,,,,
P-6904,경기도 고양시 일산동구 장항동 733-2,37.66349022,126.767458,,,,,,,,,,,
P-5C07,경기도 고양시 덕양구 화정동 1148-1,37.62753622,126.8289123,,,,,,,,,,,
P-5C08,경기도 고양시 덕양구 화정동 955,37.63746569,126.8322929,,,,,,,,,,,
P-5C09,경기도 고양시 덕양구 화정동 1098,37.6345517,126.83263,,,,,,,,,,,
P-5E01,경기도 고양시 덕양구 토당동 865,37.6202459,126.8242622,,,,,,,,,,,
P-5F01,경기도 고양시 덕양구 행신동 812,37.61213075,126.834189,,,,,,,,,,,
P-5F03,경기도 고양시 덕양구 행신동 789,37.61518264,126.8425938,,,,,,,,,,,
P-5F04,경기도 고양시 덕양구 행신동 1005,37.62414406,126.8312671,,,,,,,,,,,
P-6201,경기도 고양시 일산동구 중산동 1619,37.69041846,126.7828926,,,,,,,,,,,
P-6202,경기도 고양시 일산동구 중산동 1556,37.69611072,126.780004,,,,,,,,,,,
P-6501,경기도 고양시 일산동구 백석동 1330,37.63761157,126.78776,,,,,,,,,,,
P-6502,경기도 고양시 일산동구 백석동 1232,37.64547536,126.7930402,,,,,,,,,,,
P-6503,경기도 고양시 일산동구 백석동 1300,37.64039745,126.7908618,,,,,,,,,,,
P-6505,경기도 고양시 일산동구 백석동 1312,37.64053602,126.788331,,,,,,,,,,,
P-6520,경기도 고양시 일산동구 백석동 1308,37.64235547,126.7878825,,,,,,,,,,,
P-6521,경기도 고양시 일산동구 백석동 1312,37.64053602,126.788331,,,,,,,,,,,
P-6522,경기도 고양시 일산동구 백석동 1320-1,37.63880938,126.787585,,,,,,,,,,,
P-6601,경기도 고양시 일산동구 백석동 1326,37.64099411,126.78602,,,,,,,,,,,
P-6917,경기도 고양시 일산동구 장항동 752-1,37.65980545,126.7668076,,,,,,,,,,,
P-6918,경기도 고양시 일산동구 장항동 881,37.64937156,126.777064,,,,,,,,,,,
P-6919,경기도 고양시 일산동구 장항동 750-1,37.66146744,126.7651519,,,,,,,,,,,
P-6920,경기도 고양시 일산동구 장항동 748,37.66336347,126.7633513,,,,,,,,,,,
P-6921,경기도 고양시 일산동구 장항동 729,37.66533382,126.7665012,,,,,,,,,,,
P-6937,경기도 고양시 일산동구 장항동 777,37.66203341,126.7687417,,,,,,,,,,,
P-6938,경기도 고양시 일산동구 장항동 732,37.66377561,126.7670356,,,,,,,,,,,
P-6939,경기도 고양시 일산동구 장항동 1518,37.65819062,126.7675039,,,,,,,,,,,
P-6940,경기도 고양시 일산동구 장항동 743,37.66280502,126.7660486,,,,,,,,,,,
P-6948,경기도 고양시 일산동구 장항동 1811,37.66103564,126.7483496,,,,,,,,,,,
P-5410,경기도 고양시 덕양구 성사동 826,37.64905648,126.835368,,,,,,,,,,,
P-5411,경기도 고양시 덕양구 성사동 775,37.64905648,126.835368,,,,,,,,,,,
P-5412,경기도 고양시 덕양구 성사동 745-1,37.65100449,126.8358959,,,,,,,,,,,
P-5413,경기도 고양시 덕양구 성사동 408-1,37.65451104,126.8413606,,,,,,,,,,,
P-5905,경기도 고양시 덕양구 고양동 244-8,37.700421,126.9017312,,,,,,,,,,,
P-5906,경기도 고양시 덕양구 고양동 720,37.70978343,126.9041958,,,,,,,,,,,
P-5A02,경기도 고양시 덕양구 관산동 181-59,37.6888072,126.8655492,,,,,,,,,,,
P-5E03,경기도 고양시 덕양구 토당동 881-9,37.61961329,126.8274588,,,,,,,,,,,
P-5E04,경기도 고양시 덕양구 행주내동 127-13,37.6011325,126.8281006,,,,,,,,,,,
