주차장번호,주차장아이디,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,전화번호,위도,경도,장애인전용주차구역보유여부
1,,한류월드 제3,공영,노외,,경기도 고양시 일산동구 장항동 1827,13,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4858,37.65620404,126.7566056,Y
2,,한류월드 제4,공영,노외,,경기도 고양시 일산동구 장항동 1848,17,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4858,37.6556539,126.7595151,Y
3,34,고양시 차량등록과 부설,공영,부설,경기도 고양시 일산동구 백마로 539,경기도 고양시 일산동구 풍동 162-2,106,평일,8:00,21:00,0:00,0:00,0:00,0:00,유료,60,0,5,170,,,,031-929-4847,37.66586075,126.8077365,Y
4,,정발산공원,공영,부설,,경기도 고양시 일산동구 마두동 1112,102,평일+토요일+공휴일,9:00,20:00,9:00,20:00,9:00,20:00,유료,30,0,5,,,,,031-929-4847,37.666514,126.782417,Y
5,,백석공원,공영,부설,,경기도 고양시 일산동구 백석동 1233,61,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,10,0,5,,,,,031-929-4847,37.644279,126.793186,Y
6,,약산공영,공영,노상,,경기도 고양시 일산동구 중산동 13-5,16,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4846,37.682566,126.792284,N
7,,정발산 상생,공영,노외,,경기도 고양시 일산동구 정발산동 1276-1,6,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4858,37.6699173,126.784563,N
8,,백석역 환승,공영,노외,경기도 고양시 일산동구 중앙로 1036,경기도 고양시 일산동구 백석동 1242,297,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,200,5,50,24,3000,30000,031-929-4858,37.64317774,126.7896628,Y
9,,중산 제3,공영,노외,,경기도 고양시 일산동구 중산동 1726,32,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4858,37.68364376,126.7887336,Y
10,,백마역,공영,노외,,경기도 고양시 일산동구 마두동 747,31,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4858,37.65986391,126.7930691,Y
