OBJECTID,adm_nm,adm_cd,adm_cd2,sgg,sido,sidonm,sggnm
1364,경기도 고양시덕양구 주교동,3110151,4128151000,41281,41,경기도,고양시덕양구
1365,경기도 고양시덕양구 원신동,3110152,4128152000,41281,41,경기도,고양시덕양구
1366,경기도 고양시덕양구 흥도동,3110153,4128153000,41281,41,경기도,고양시덕양구
1367,경기도 고양시덕양구 성사동,3110154,4128154000,41281,41,경기도,고양시덕양구
1369,경기도 고양시덕양구 효자동,3110156,4128156000,41281,41,경기도,고양시덕양구
1370,경기도 고양시덕양구 삼송동,3110170,4128157500,41281,41,경기도,고양시덕양구
1371,경기도 고양시덕양구 창릉동,3110158,4128158000,41281,41,경기도,고양시덕양구
1372,경기도 고양시덕양구 고양동,3110159,4128159000,41281,41,경기도,고양시덕양구
1373,경기도 고양시덕양구 관산동,3110160,4128160000,41281,41,경기도,고양시덕양구
1374,경기도 고양시덕양구 능곡동,3110161,4128161000,41281,41,경기도,고양시덕양구
1375,경기도 고양시덕양구 화정동,3110162,4128162100,41281,41,경기도,고양시덕양구
1377,경기도 고양시덕양구 행주동,3110164,4128163000,41281,41,경기도,고양시덕양구
1378,경기도 고양시덕양구 행신동,3110165,4128164000,41281,41,경기도,고양시덕양구
1380,경기도 고양시덕양구 화전동,3110167,4128166000,41281,41,경기도,고양시덕양구
1381,경기도 고양시덕양구 대덕동,3110168,4128167000,41281,41,경기도,고양시덕양구
1383,경기도 고양시일산동구 식사동,3110351,4128551000,41285,41,경기도,고양시일산동구
1384,경기도 고양시일산동구 중산동,3110352,4128552000,41285,41,경기도,고양시일산동구
1385,경기도 고양시일산동구 정발산동,3110353,4128553000,41285,41,경기도,고양시일산동구
1386,경기도 고양시일산동구 풍산동,3110354,4128554000,41285,41,경기도,고양시일산동구
1387,경기도 고양시일산동구 백석동,3110355,4128555100,41285,41,경기도,고양시일산동구
1388,경기도 고양시일산동구 마두동,3110356,4128556000,41285,41,경기도,고양시일산동구
1390,경기도 고양시일산동구 장항동,3110358,4128558000,41285,41,경기도,고양시일산동구
1392,경기도 고양시일산동구 고봉동,3110360,4128560000,41285,41,경기도,고양시일산동구
1394,경기도 고양시일산서구 일산동,3110451,4128751000,41287,41,경기도,고양시일산서구
1397,경기도 고양시일산서구 탄현동,3110454,4128754000,41287,41,경기도,고양시일산서구
1398,경기도 고양시일산서구 주엽동,3110455,4128755000,41287,41,경기도,고양시일산서구
1400,경기도 고양시일산서구 대화동,3110457,4128757000,41287,41,경기도,고양시일산서구
1401,경기도 고양시일산서구 송포동,3110458,4128758000,41287,41,경기도,고양시일산서구
1402,경기도 고양시일산서구 송산동,3110459,4128759000,41287,41,경기도,고양시일산서구
